2023-06-16 18:15:21,366: Experiment begins, dataset: Cora
2023-06-16 18:15:29,588: Parameter set 0001: hidden_dim = 08, lr=0.0050, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.7087
2023-06-16 18:15:38,874: Parameter set 0002: hidden_dim = 08, lr=0.0050, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.693
2023-06-16 18:15:47,650: Parameter set 0003: hidden_dim = 08, lr=0.0050, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.7087
2023-06-16 18:15:55,617: Parameter set 0004: hidden_dim = 16, lr=0.0050, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.7293
2023-06-16 18:16:03,321: Parameter set 0005: hidden_dim = 16, lr=0.0050, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.725
2023-06-16 18:16:12,048: Parameter set 0006: hidden_dim = 16, lr=0.0050, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.6837
2023-06-16 18:16:21,290: Parameter set 0007: hidden_dim = 32, lr=0.0050, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.6487
2023-06-16 18:16:30,137: Parameter set 0008: hidden_dim = 32, lr=0.0050, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.709
2023-06-16 18:16:37,975: Parameter set 0009: hidden_dim = 32, lr=0.0050, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.7067
2023-06-16 18:16:45,763: Parameter set 0010: hidden_dim = 08, lr=0.0050, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.723
2023-06-16 18:16:53,612: Parameter set 0011: hidden_dim = 08, lr=0.0050, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.7257
2023-06-16 18:17:01,639: Parameter set 0012: hidden_dim = 08, lr=0.0050, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.7543
2023-06-16 18:17:09,238: Parameter set 0013: hidden_dim = 16, lr=0.0050, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.7133
2023-06-16 18:17:17,000: Parameter set 0014: hidden_dim = 16, lr=0.0050, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.7343
2023-06-16 18:17:24,899: Parameter set 0015: hidden_dim = 16, lr=0.0050, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.7337
2023-06-16 18:17:33,324: Parameter set 0016: hidden_dim = 32, lr=0.0050, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.706
2023-06-16 18:17:42,060: Parameter set 0017: hidden_dim = 32, lr=0.0050, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.7127
2023-06-16 18:17:49,876: Parameter set 0018: hidden_dim = 32, lr=0.0050, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.7173
2023-06-16 18:17:57,612: Parameter set 0019: hidden_dim = 08, lr=0.0050, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.7017
2023-06-16 18:18:05,579: Parameter set 0020: hidden_dim = 08, lr=0.0050, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.7257
2023-06-16 18:18:13,519: Parameter set 0021: hidden_dim = 08, lr=0.0050, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.7097
2023-06-16 18:18:21,524: Parameter set 0022: hidden_dim = 16, lr=0.0050, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.751
2023-06-16 18:18:29,549: Parameter set 0023: hidden_dim = 16, lr=0.0050, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.7433
2023-06-16 18:18:37,375: Parameter set 0024: hidden_dim = 16, lr=0.0050, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.746
2023-06-16 18:18:45,404: Parameter set 0025: hidden_dim = 32, lr=0.0050, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.7407
2023-06-16 18:18:54,051: Parameter set 0026: hidden_dim = 32, lr=0.0050, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.6863
2023-06-16 18:19:02,296: Parameter set 0027: hidden_dim = 32, lr=0.0050, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.7093
