Dataset:  Cora
Experiment  1 run  1 , total time: 3.135 learning rate: 0.001, smoothing factor: 0.0, test accuracy: 0.389
Experiment  1 run  2 , total time: 2.903 learning rate: 0.001, smoothing factor: 0.0, test accuracy: 0.601
Experiment  1 run  3 , total time: 2.613 learning rate: 0.001, smoothing factor: 0.0, test accuracy: 0.669
Experiment  1  summary: mean test accuracy:0.553

Experiment  2 run  1 , total time: 2.984 learning rate: 0.001, smoothing factor: 0.1, test accuracy: 0.551
Experiment  2 run  2 , total time: 2.57 learning rate: 0.001, smoothing factor: 0.1, test accuracy: 0.313
Experiment  2 run  3 , total time: 2.273 learning rate: 0.001, smoothing factor: 0.1, test accuracy: 0.309
Experiment  2  summary: mean test accuracy:0.391

Experiment  3 run  1 , total time: 2.307 learning rate: 0.001, smoothing factor: 0.2, test accuracy: 0.31
Experiment  3 run  2 , total time: 2.346 learning rate: 0.001, smoothing factor: 0.2, test accuracy: 0.386
Experiment  3 run  3 , total time: 2.33 learning rate: 0.001, smoothing factor: 0.2, test accuracy: 0.191
Experiment  3  summary: mean test accuracy:0.2957

Experiment  4 run  1 , total time: 2.364 learning rate: 0.001, smoothing factor: 0.3, test accuracy: 0.385
Experiment  4 run  2 , total time: 2.354 learning rate: 0.001, smoothing factor: 0.3, test accuracy: 0.524
Experiment  4 run  3 , total time: 2.316 learning rate: 0.001, smoothing factor: 0.3, test accuracy: 0.454
Experiment  4  summary: mean test accuracy:0.4543

Experiment  5 run  1 , total time: 2.305 learning rate: 0.001, smoothing factor: 0.4, test accuracy: 0.402
Experiment  5 run  2 , total time: 2.34 learning rate: 0.001, smoothing factor: 0.4, test accuracy: 0.431
Experiment  5 run  3 , total time: 2.329 learning rate: 0.001, smoothing factor: 0.4, test accuracy: 0.599
Experiment  5  summary: mean test accuracy:0.4773

Experiment  6 run  1 , total time: 2.29 learning rate: 0.001, smoothing factor: 0.5, test accuracy: 0.54
Experiment  6 run  2 , total time: 2.369 learning rate: 0.001, smoothing factor: 0.5, test accuracy: 0.526
Experiment  6 run  3 , total time: 2.497 learning rate: 0.001, smoothing factor: 0.5, test accuracy: 0.386
Experiment  6  summary: mean test accuracy:0.484

Experiment  7 run  1 , total time: 2.405 learning rate: 0.001, smoothing factor: 0.6, test accuracy: 0.568
Experiment  7 run  2 , total time: 2.448 learning rate: 0.001, smoothing factor: 0.6, test accuracy: 0.442
Experiment  7 run  3 , total time: 2.393 learning rate: 0.001, smoothing factor: 0.6, test accuracy: 0.26
Experiment  7  summary: mean test accuracy:0.4233

Experiment  8 run  1 , total time: 2.373 learning rate: 0.001, smoothing factor: 0.7, test accuracy: 0.648
Experiment  8 run  2 , total time: 2.295 learning rate: 0.001, smoothing factor: 0.7, test accuracy: 0.367
Experiment  8 run  3 , total time: 2.322 learning rate: 0.001, smoothing factor: 0.7, test accuracy: 0.498
Experiment  8  summary: mean test accuracy:0.5043

Experiment  9 run  1 , total time: 2.313 learning rate: 0.001, smoothing factor: 0.8, test accuracy: 0.458
Experiment  9 run  2 , total time: 2.327 learning rate: 0.001, smoothing factor: 0.8, test accuracy: 0.48
Experiment  9 run  3 , total time: 2.293 learning rate: 0.001, smoothing factor: 0.8, test accuracy: 0.502
Experiment  9  summary: mean test accuracy:0.48

Experiment  10 run  1 , total time: 2.293 learning rate: 0.001, smoothing factor: 0.9, test accuracy: 0.39
Experiment  10 run  2 , total time: 2.326 learning rate: 0.001, smoothing factor: 0.9, test accuracy: 0.426
Experiment  10 run  3 , total time: 2.314 learning rate: 0.001, smoothing factor: 0.9, test accuracy: 0.429
Experiment  10  summary: mean test accuracy:0.415

Experiment  11 run  1 , total time: 2.321 learning rate: 0.0015, smoothing factor: 0.0, test accuracy: 0.715
Experiment  11 run  2 , total time: 2.336 learning rate: 0.0015, smoothing factor: 0.0, test accuracy: 0.493
Experiment  11 run  3 , total time: 2.3 learning rate: 0.0015, smoothing factor: 0.0, test accuracy: 0.525
Experiment  11  summary: mean test accuracy:0.5777

Experiment  12 run  1 , total time: 2.386 learning rate: 0.0015, smoothing factor: 0.1, test accuracy: 0.748
Experiment  12 run  2 , total time: 2.273 learning rate: 0.0015, smoothing factor: 0.1, test accuracy: 0.5
Experiment  12 run  3 , total time: 2.271 learning rate: 0.0015, smoothing factor: 0.1, test accuracy: 0.432
Experiment  12  summary: mean test accuracy:0.56

Experiment  13 run  1 , total time: 2.341 learning rate: 0.0015, smoothing factor: 0.2, test accuracy: 0.612
Experiment  13 run  2 , total time: 2.305 learning rate: 0.0015, smoothing factor: 0.2, test accuracy: 0.497
Experiment  13 run  3 , total time: 2.331 learning rate: 0.0015, smoothing factor: 0.2, test accuracy: 0.624
Experiment  13  summary: mean test accuracy:0.5777

Experiment  14 run  1 , total time: 2.281 learning rate: 0.0015, smoothing factor: 0.3, test accuracy: 0.445
Experiment  14 run  2 , total time: 2.286 learning rate: 0.0015, smoothing factor: 0.3, test accuracy: 0.394
Experiment  14 run  3 , total time: 2.283 learning rate: 0.0015, smoothing factor: 0.3, test accuracy: 0.469
Experiment  14  summary: mean test accuracy:0.436

Experiment  15 run  1 , total time: 2.31 learning rate: 0.0015, smoothing factor: 0.4, test accuracy: 0.573
Experiment  15 run  2 , total time: 2.308 learning rate: 0.0015, smoothing factor: 0.4, test accuracy: 0.598
Experiment  15 run  3 , total time: 2.369 learning rate: 0.0015, smoothing factor: 0.4, test accuracy: 0.598
Experiment  15  summary: mean test accuracy:0.5897

Experiment  16 run  1 , total time: 2.436 learning rate: 0.0015, smoothing factor: 0.5, test accuracy: 0.339
Experiment  16 run  2 , total time: 2.276 learning rate: 0.0015, smoothing factor: 0.5, test accuracy: 0.468
Experiment  16 run  3 , total time: 2.448 learning rate: 0.0015, smoothing factor: 0.5, test accuracy: 0.542
Experiment  16  summary: mean test accuracy:0.4497

Experiment  17 run  1 , total time: 2.259 learning rate: 0.0015, smoothing factor: 0.6, test accuracy: 0.577
Experiment  17 run  2 , total time: 2.387 learning rate: 0.0015, smoothing factor: 0.6, test accuracy: 0.678
Experiment  17 run  3 , total time: 2.476 learning rate: 0.0015, smoothing factor: 0.6, test accuracy: 0.499
Experiment  17  summary: mean test accuracy:0.5847

Experiment  18 run  1 , total time: 2.347 learning rate: 0.0015, smoothing factor: 0.7, test accuracy: 0.597
Experiment  18 run  2 , total time: 2.283 learning rate: 0.0015, smoothing factor: 0.7, test accuracy: 0.469
Experiment  18 run  3 , total time: 2.342 learning rate: 0.0015, smoothing factor: 0.7, test accuracy: 0.516
Experiment  18  summary: mean test accuracy:0.5273

Experiment  19 run  1 , total time: 2.287 learning rate: 0.0015, smoothing factor: 0.8, test accuracy: 0.568
Experiment  19 run  2 , total time: 2.326 learning rate: 0.0015, smoothing factor: 0.8, test accuracy: 0.568
Experiment  19 run  3 , total time: 2.312 learning rate: 0.0015, smoothing factor: 0.8, test accuracy: 0.479
Experiment  19  summary: mean test accuracy:0.5383

Experiment  20 run  1 , total time: 2.357 learning rate: 0.0015, smoothing factor: 0.9, test accuracy: 0.528
Experiment  20 run  2 , total time: 2.316 learning rate: 0.0015, smoothing factor: 0.9, test accuracy: 0.619
Experiment  20 run  3 , total time: 2.361 learning rate: 0.0015, smoothing factor: 0.9, test accuracy: 0.55
Experiment  20  summary: mean test accuracy:0.5657

Experiment  21 run  1 , total time: 2.28 learning rate: 0.002, smoothing factor: 0.0, test accuracy: 0.674
Experiment  21 run  2 , total time: 2.26 learning rate: 0.002, smoothing factor: 0.0, test accuracy: 0.667
Experiment  21 run  3 , total time: 2.304 learning rate: 0.002, smoothing factor: 0.0, test accuracy: 0.652
Experiment  21  summary: mean test accuracy:0.6643

Experiment  22 run  1 , total time: 2.273 learning rate: 0.002, smoothing factor: 0.1, test accuracy: 0.729
Experiment  22 run  2 , total time: 2.292 learning rate: 0.002, smoothing factor: 0.1, test accuracy: 0.334
Experiment  22 run  3 , total time: 2.235 learning rate: 0.002, smoothing factor: 0.1, test accuracy: 0.46
Experiment  22  summary: mean test accuracy:0.5077

Experiment  23 run  1 , total time: 2.286 learning rate: 0.002, smoothing factor: 0.2, test accuracy: 0.587
Experiment  23 run  2 , total time: 2.298 learning rate: 0.002, smoothing factor: 0.2, test accuracy: 0.634
Experiment  23 run  3 , total time: 2.33 learning rate: 0.002, smoothing factor: 0.2, test accuracy: 0.465
Experiment  23  summary: mean test accuracy:0.562

Experiment  24 run  1 , total time: 2.297 learning rate: 0.002, smoothing factor: 0.3, test accuracy: 0.643
Experiment  24 run  2 , total time: 2.841 learning rate: 0.002, smoothing factor: 0.3, test accuracy: 0.584
Experiment  24 run  3 , total time: 2.301 learning rate: 0.002, smoothing factor: 0.3, test accuracy: 0.491
Experiment  24  summary: mean test accuracy:0.5727

Experiment  25 run  1 , total time: 2.911 learning rate: 0.002, smoothing factor: 0.4, test accuracy: 0.463
Experiment  25 run  2 , total time: 2.551 learning rate: 0.002, smoothing factor: 0.4, test accuracy: 0.606
Experiment  25 run  3 , total time: 2.328 learning rate: 0.002, smoothing factor: 0.4, test accuracy: 0.695
Experiment  25  summary: mean test accuracy:0.588

Experiment  26 run  1 , total time: 2.46 learning rate: 0.002, smoothing factor: 0.5, test accuracy: 0.546
Experiment  26 run  2 , total time: 2.53 learning rate: 0.002, smoothing factor: 0.5, test accuracy: 0.633
Experiment  26 run  3 , total time: 3.038 learning rate: 0.002, smoothing factor: 0.5, test accuracy: 0.654
Experiment  26  summary: mean test accuracy:0.611

Experiment  27 run  1 , total time: 2.78 learning rate: 0.002, smoothing factor: 0.6, test accuracy: 0.687
Experiment  27 run  2 , total time: 2.472 learning rate: 0.002, smoothing factor: 0.6, test accuracy: 0.621
Experiment  27 run  3 , total time: 2.325 learning rate: 0.002, smoothing factor: 0.6, test accuracy: 0.619
Experiment  27  summary: mean test accuracy:0.6423

Experiment  28 run  1 , total time: 2.808 learning rate: 0.002, smoothing factor: 0.7, test accuracy: 0.665
Experiment  28 run  2 , total time: 2.745 learning rate: 0.002, smoothing factor: 0.7, test accuracy: 0.695
Experiment  28 run  3 , total time: 2.355 learning rate: 0.002, smoothing factor: 0.7, test accuracy: 0.683
Experiment  28  summary: mean test accuracy:0.681

Experiment  29 run  1 , total time: 2.334 learning rate: 0.002, smoothing factor: 0.8, test accuracy: 0.615
Experiment  29 run  2 , total time: 2.294 learning rate: 0.002, smoothing factor: 0.8, test accuracy: 0.658
Experiment  29 run  3 , total time: 2.295 learning rate: 0.002, smoothing factor: 0.8, test accuracy: 0.591
Experiment  29  summary: mean test accuracy:0.6213

Experiment  30 run  1 , total time: 2.294 learning rate: 0.002, smoothing factor: 0.9, test accuracy: 0.607
Experiment  30 run  2 , total time: 2.383 learning rate: 0.002, smoothing factor: 0.9, test accuracy: 0.613
Experiment  30 run  3 , total time: 2.312 learning rate: 0.002, smoothing factor: 0.9, test accuracy: 0.514
Experiment  30  summary: mean test accuracy:0.578

